date,time,username,name,tweet,mentions,hashtags,link,reply_to,language,positive_sentiment,neutral_sentiment,negative_sentiment,compound_sentiment,positive_tweet,negative_tweet
2020-02-11,00:44:13,shanegoldmacher,Shane Goldmacher,"Not sure if it actually ran, but the Joe Biden super PAC had booked one 30-second ad on WMUR during the Oscars last night for $40,000",[],[],https://twitter.com/ShaneGoldmacher/status/1227030542627069952,"[{'user_id': '23232204', 'username': 'ShaneGoldmacher'}]",en,0.174,0.778,0.048,0.7067,1,0
2020-02-11,00:40:24,loudobbs,Lou Dobbs,Failing Biden: @EdRollins & @mgoodwin_nypost say Joe Biden’s presidential campaign ends soon. #AmericaFirst #MAGA #Dobbs ,"['edrollins', 'mgoodwin_nypost']","['#americafirst', '#maga', '#dobbs']",https://twitter.com/LouDobbs/status/1227029584161452032,"[{'user_id': '26487169', 'username': 'LouDobbs'}, {'user_id': '389512058', 'username': 'EdRollins'}, {'user_id': '1023199591', 'username': 'mgoodwin_nypost'}]",en,0.0,0.798,0.202,-0.5106,0,1
2020-02-11,00:40:06,nytimes,The New York Times,"The New Hampshire primary isn't until Tuesday, but Joe Biden has already turned his attention to South Carolina's vote later this month. @katieglueck reports from Manchester, N.H., on the former vice president's call with top supporters on Monday. ",['katieglueck'],[],https://twitter.com/nytimes/status/1227029509448306688,"[{'user_id': '807095', 'username': 'nytimes'}, {'user_id': '154985728', 'username': 'katieglueck'}]",en,0.144,0.856,0.0,0.7227,1,0
2020-02-11,00:39:55,chrisjansing,Chris Jansing,When a protester disrupted Joe Biden’s speech in Manchester - Jill Biden nicely escorted him away - to the appreciation of the crowd. And her husband  ,[],[],https://twitter.com/ChrisJansing/status/1227029462769963009,"[{'user_id': '238259855', 'username': 'ChrisJansing'}]",en,0.228,0.772,0.0,0.7351,1,0
2020-02-11,00:39:04,11alivenews,11Alive News,"Joe Biden calls Mercer student a 'lying, dog-faced pony soldier' at New Hampshire event  ",[],[],https://twitter.com/11AliveNews/status/1227029248793350144,"[{'user_id': '14268564', 'username': '11AliveNews'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:36:19,philip_elliott,Phil Elliott,"As Joe Biden wraps his last event before New Hampshire votes tomorrow, Cassadee Pope's ""I Am Invincible"" is playing. Subtlety is for losers.",[],[],https://twitter.com/Philip_Elliott/status/1227028555630075904,"[{'user_id': '16898332', 'username': 'Philip_Elliott'}]",en,0.176,0.704,0.12,0.1531,1,0
2020-02-11,00:34:13,outfrontcnn,OutFrontCNN,"Dover, NH, has correctly predicted the winners of the state's last 4 primaries, and their mayor says Joe Biden lacks the energy of his rivals.

""I think he's kind of flat,"" mayor Bob Carrier tells @ErinBurnett, saying his town is ""looking for somebody... [who is] really vibrant."" ",['erinburnett'],[],https://twitter.com/OutFrontCNN/status/1227028026359209984,"[{'user_id': '361342191', 'username': 'OutFrontCNN'}, {'user_id': '322603418', 'username': 'ErinBurnett'}]",en,0.175,0.825,0.0,0.8455,1,0
2020-02-11,00:31:26,chrisjollyhale,Christopher J. Hale,".@DrBiden—who always makes the best case for @JoeBiden—just helped eject a protester from Joe’s event, because she’s just a plain badass.","['drbiden', 'joebiden']",[],https://twitter.com/chrisjollyhale/status/1227027325537128455,"[{'user_id': '23318036', 'username': 'chrisjollyhale'}, {'user_id': '821784477076750338', 'username': 'DrBiden'}, {'user_id': '939091', 'username': 'JoeBiden'}]",en,0.28,0.72,0.0,0.765,1,0
2020-02-11,00:24:31,dancgoldberg,Dan Goldberg,"“Joe Biden’s campaign has one answer to questions about whether his candidacy is collapsing: A noun, a verb and South Carolina.”  — @MarcACaputo with a great lede. ",['marcacaputo'],[],https://twitter.com/DanCGoldberg/status/1227025585479786496,"[{'user_id': '149155812', 'username': 'DanCGoldberg'}, {'user_id': '227373977', 'username': 'MarcACaputo'}]",en,0.15,0.769,0.081,0.4404,1,0
2020-02-11,00:21:29,jessicadean,Jessica Dean,.@DrBiden gives her closing argument to NH voters as @JoeBiden proudly looks on. “We want Joe” chants break out  ,"['drbiden', 'joebiden']",[],https://twitter.com/jessicadean/status/1227024821126664192,"[{'user_id': '18798158', 'username': 'jessicadean'}, {'user_id': '821784477076750338', 'username': 'DrBiden'}, {'user_id': '939091', 'username': 'JoeBiden'}]",en,0.335,0.57,0.095,0.7456,1,0
2020-02-11,00:20:46,jazmineulloa,Jazmine Ulloa,"Jill Biden got the crowd so riled up, chants of “We want Joe” broke out across the room.

The two exchanged an embrace and a kiss, and Biden turned to the crowd. 

“I’m Joe Biden, Jill Biden’s husband. And I rest my case.”",[],[],https://twitter.com/jazmineulloa/status/1227024643665661952,"[{'user_id': '62624808', 'username': 'jazmineulloa'}]",en,0.139,0.801,0.061,0.3818,1,0
2020-02-11,00:18:51,marcacaputo,Marc Caputo,"A subject. A verb. And South Carolina. 

Inside Joe Biden’s Palmetto State redoubt  ",[],[],https://twitter.com/MarcACaputo/status/1227024160481783808,"[{'user_id': '227373977', 'username': 'MarcACaputo'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:18:18,joanegreve,Joan Greve,"Biden takes the podium after his wife’s speech, and says, “I am Joe Biden, Jill Biden’s husband, and I rest my case.” He jokingly walks away from the podium for a second, but he is then almost immediately interrupted by a protester.  ",[],[],https://twitter.com/joanegreve/status/1227024024057806848,"[{'user_id': '181304710', 'username': 'joanegreve'}]",en,0.0,0.941,0.059,-0.3362,0,1
2020-02-11,00:17:41,jessicadean,Jessica Dean,.@DrBiden gives her closing argument to NH voters as @JoeBiden looks on. “We want Joe” chants break out  ,"['drbiden', 'joebiden']",[],https://twitter.com/jessicadean/status/1227023867941703681,"[{'user_id': '18798158', 'username': 'jessicadean'}, {'user_id': '821784477076750338', 'username': 'DrBiden'}, {'user_id': '939091', 'username': 'JoeBiden'}]",en,0.23,0.66,0.11,0.4084,1,0
2020-02-11,00:17:40,cbckatie,Katie Simpson,"Protestor interrupts Biden’s speech. He shouts something at Jill Biden, and the crowd drowns him out with “we want joe”. But there was an uncomfortable moment when the man approached the centre of the room and Jill appeared to try to de-escalate.  ",[],[],https://twitter.com/CBCKatie/status/1227023864632422400,"[{'user_id': '24215395', 'username': 'CBCKatie'}]",en,0.025,0.821,0.154,-0.7184,0,1
2020-02-11,00:17:18,shannonbream,Shannon Bream,"After he’s introduced by @DrBiden at campaign event, lady  in front of me says “She’s the one who should be running”.  Heckler almost immediately interrupts @JoeBiden demanding some kind of apology. Drowned out by “We want Joe!” chants.","['drbiden', 'joebiden']",[],https://twitter.com/ShannonBream/status/1227023772378640385,"[{'user_id': '18983793', 'username': 'ShannonBream'}, {'user_id': '821784477076750338', 'username': 'DrBiden'}, {'user_id': '939091', 'username': 'JoeBiden'}]",en,0.03,0.759,0.212,-0.7849,0,1
2020-02-11,00:15:58,mikememoli,Mike Memoli,"""I am Joe Biden, I am Jill Biden's husband, and I rest my case,"" Biden jokes, walking away from the mic as if he would end on that note.",[],[],https://twitter.com/mikememoli/status/1227023436733669376,"[{'user_id': '16072058', 'username': 'mikememoli'}]",en,0.071,0.929,0.0,0.25,1,0
2020-02-11,00:15:47,pantsuitpolitic,PantsuitPolitics,"Joe Biden: ""I am Joe Biden, Jill Biden's husband and I rest my case.""",[],[],https://twitter.com/PantsuitPolitic/status/1227023386691461122,"[{'user_id': '4064180956', 'username': 'PantsuitPolitic'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:14:18,mikememoli,Mike Memoli,"Biden is dabbing at his eyes as his wife makes an enthusiastic, heartfelt final pitch for him on the eve of the primary. She has the crowd now on their feet chanting, ""We want Joe!""",[],[],https://twitter.com/mikememoli/status/1227023015558438912,"[{'user_id': '16072058', 'username': 'mikememoli'}]",en,0.206,0.794,0.0,0.807,1,0
2020-02-11,00:12:30,jazmineulloa,Jazmine Ulloa,Joe and Jill Biden make an entrance to a different song. Jill tells the crowd she chose it. “Did you like it? I’m invincible! That’s Joe Biden.”  ,[],[],https://twitter.com/jazmineulloa/status/1227022561428504576,"[{'user_id': '62624808', 'username': 'jazmineulloa'}]",en,0.2,0.8,0.0,0.7177,1,0
2020-02-11,00:11:36,mollynagle3,Molly Nagle,".@JoeBiden debuts a new walk up at his Manchester event. Tonight its @carrieunderwood's ""Champion"" instead of Bruce's 'We Take Care of Our Own,"" or Jackie Walker's ""Higher and Higher."" 

@DrBiden claims credit for the change, quoting the lyrics ""I am invincible...that's Joe.""","['joebiden', 'carrieunderwood', 'drbiden']",[],https://twitter.com/MollyNagle3/status/1227022334059569154,"[{'user_id': '2501984838', 'username': 'MollyNagle3'}, {'user_id': '939091', 'username': 'JoeBiden'}, {'user_id': '386244525', 'username': 'carrieunderwood'}, {'user_id': '821784477076750338', 'username': 'DrBiden'}]",en,0.129,0.871,0.0,0.7003,1,0
2020-02-11,00:10:55,joanegreve,Joan Greve,Joe and Jill Biden take the podium to Carrie Underwood’s “The Champion.” Jill Biden then says she chose the music tonight.  ,[],[],https://twitter.com/joanegreve/status/1227022165599453185,"[{'user_id': '181304710', 'username': 'joanegreve'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:09:43,jeneps,Jennifer Epstein,"“I am invincible. That’s Joe Biden,” @drbiden says as she walks out at her husband’s final pre-New Hampshire primary event. Dr. Biden said she chose new walkout music for tonight, Carrie Underwood’s “The Champion.”  ",['drbiden'],[],https://twitter.com/jeneps/status/1227021863358025729,"[{'user_id': '45399148', 'username': 'jeneps'}, {'user_id': '821784477076750338', 'username': 'DrBiden'}]",en,0.085,0.853,0.061,0.2263,1,0
2020-02-11,00:08:01,jeffvandermeer,Jeff VanderMeer,"It's amazing. A lot of folks in FL think of it as a weed, but it's the only wildflower that out-performs invasives in this state and it's crucial for that reason for a range of polinators. I encourage in in my yard...I do NOT encourage Joe Biden in my yard.",['neilak20'],[],https://twitter.com/jeffvandermeer/status/1227021433412472832,"[{'user_id': '14414706', 'username': 'jeffvandermeer'}, {'user_id': '18064262', 'username': 'NeilaK20'}]",en,0.208,0.792,0.0,0.9062,1,0
2020-02-11,00:02:43,mikhailtank,Mikhail Tank,"Student who Joe Biden called a 'lying, dog-faced pony soldier' speaks
  ",[],[],https://twitter.com/mikhailtank/status/1227020098273042434,"[{'user_id': '25552051', 'username': 'mikhailtank'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:02:08,dailyblastlive,Daily Blast LIVE,"Joe Biden called a college student a 'lying, dog-faced pony soldier' at New Hampshire event over the weekend. 

His campaign insists it was just a joke, but she’s not laughing. 

🔗  💬 What do you think of the vice president's crack?",[],[],https://twitter.com/dailyblastlive/status/1227019953745907712,"[{'user_id': '848997614095814656', 'username': 'dailyblastlive'}]",en,0.038,0.88,0.082,-0.4295,0,1
2020-02-11,00:01:10,abcpolitics,ABC News Politics,"Joe Biden is facing increasingly formidable competition in South Carolina, a state his campaign has long assumed was safely in his column and one he's repeatedly described as a “firewall"" in his bid for the nomination.  ",[],[],https://twitter.com/ABCPolitics/status/1227019709129936896,"[{'user_id': '16815644', 'username': 'ABCPolitics'}]",en,0.088,0.912,0.0,0.4939,1,0
2020-02-11,00:00:19,twitchyteam,Twitchy Team,‘This is not a moderate position’: Joe Biden tells boy we should eliminate the use of plastics  ,[],[],https://twitter.com/TwitchyTeam/status/1227019495836917760,"[{'user_id': '469194846', 'username': 'TwitchyTeam'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:00:05,vanityfair,VANITY FAIR,Trump's efforts to dig up dirt on Joe Biden appear to be escalating  ,[],[],https://twitter.com/VanityFair/status/1227019436625887237,"[{'user_id': '15279429', 'username': 'VanityFair'}]",en,0.0,0.833,0.167,-0.34,0,1
2020-02-11,00:00:00,thv11,THV11,"Joe Biden calls college student a 'lying, dog-faced pony soldier' at New Hampshire event

READ:  ",[],[],https://twitter.com/THV11/status/1227019418368008192,"[{'user_id': '15823826', 'username': 'THV11'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:00:00,hilltvlive,HILLTV,"Saagar Enjeti: Joe Biden team tries to cover up HUMILIATING loss, upcoming implosion  ",[],[],https://twitter.com/HillTVLive/status/1227019416266608640,"[{'user_id': '995478067597496322', 'username': 'HillTVLive'}]",en,0.0,0.678,0.322,-0.6408,0,1
