date,time,username,name,tweet,mentions,hashtags,link,reply_to,language,positive_sentiment,neutral_sentiment,negative_sentiment,compound_sentiment,positive_tweet,negative_tweet
2020-02-11,00:34:52,benfergusonshow,Ben Ferguson,"THIS IS DISGUSTING: 
Sen. Amy Klobuchar: people that support President Trump fail a ""patriotism check""

 ",[],[],https://twitter.com/benfergusonshow/status/1227028191983915014,"[{'user_id': '45445747', 'username': 'benfergusonshow'}]",en,0.127,0.516,0.358,-0.7125,0,1
2020-02-11,00:34:38,openletterbot,Resistbot Open Letters,"📬 I just delivered this letter from Lisa, a constituent in Courtland, Minn., to @amyklobuchar and @SenTinaSmith #MN01 #MNpolitics #HR2474
📝 Write your own:  ","['amyklobuchar', 'sentinasmith']","['#mn01', '#mnpolitics', '#hr2474']",https://twitter.com/openletterbot/status/1227028131422146560,"[{'user_id': '938533034659168256', 'username': 'openletterbot'}, {'user_id': '33537967', 'username': 'amyklobuchar'}, {'user_id': '941000686275387392', 'username': 'SenTinaSmith'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:30:10,nro,National Review,Amy Klobuchar Hits Her Stride in New Hampshire |  ,['mccormackjohn'],[],https://twitter.com/NRO/status/1227027007898345472,"[{'user_id': '19417492', 'username': 'NRO'}, {'user_id': '27689907', 'username': 'McCormackJohn'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:20:11,kyunglahcnn,Kyung Lah,"American Legion hall in Rochester, NH, a town of approx 30,000, is ⁦@amyklobuchar⁩’s 2nd to last event of the night ",['amyklobuchar'],[],https://twitter.com/KyungLahCNN/status/1227024495782899712,"[{'user_id': '78231411', 'username': 'KyungLahCNN'}, {'user_id': '33537967', 'username': 'amyklobuchar'}]",en,0.179,0.821,0.0,0.6037,1,0
2020-02-11,00:18:09,tball,Tim Ball,"I am pretty firmly in the Pete camp at the moment, but actually feel like Klobuchar would make the best president of the bunch. Her getting the nomination at this point feels unlikely, though.",['torn2rbns'],[],https://twitter.com/tball/status/1227023985705201664,"[{'user_id': '11154172', 'username': 'tball'}, {'user_id': '3273670164', 'username': 'torn2rbns'}]",en,0.271,0.729,0.0,0.9032,1,0
2020-02-11,00:17:24,adamcbest,Adam Best,What in the world is a progressive moderate? Sounds like a contradiction to me.,"['davidcorndc', 'amyklobuchar']",[],https://twitter.com/adamcbest/status/1227023793476063233,"[{'user_id': '17261066', 'username': 'adamcbest'}, {'user_id': '15220768', 'username': 'DavidCornDC'}, {'user_id': '33537967', 'username': 'amyklobuchar'}]",en,0.172,0.69,0.138,0.128,1,0
2020-02-11,00:16:33,kdrum,Kevin Drum,Wait! Amy Klobuchar is surging in New Hampshire  ,[],[],https://twitter.com/kdrum/status/1227023583341359106,"[{'user_id': '18276341', 'username': 'kdrum'}]",en,0.0,1.0,0.0,0.0,0,0
2020-02-11,00:15:19,overheardpbs,Overheard with Evan Smith,.@TheRickWilson says Amy Klobuchar is set up as the perfect Democratic running mate. #overheardpbs,['therickwilson'],['#overheardpbs'],https://twitter.com/overheardpbs/status/1227023269238276097,"[{'user_id': '182880523', 'username': 'overheardpbs'}, {'user_id': '19084896', 'username': 'TheRickWilson'}]",en,0.222,0.778,0.0,0.5719,1,0
2020-02-11,00:13:08,tonyatamanuik,Anthony Atamanuik,Hey @amyklobuchar your event is over in Manchester come to the @ShaskeenComedy for the 8:30pm @trumpvsbernie show!  You’ll love it!,"['amyklobuchar', 'shaskeencomedy', 'trumpvsbernie']",[],https://twitter.com/TonyAtamanuik/status/1227022722527584258,"[{'user_id': '16205716', 'username': 'TonyAtamanuik'}, {'user_id': '33537967', 'username': 'amyklobuchar'}, {'user_id': '2530264316', 'username': 'ShaskeenComedy'}, {'user_id': '4759749753', 'username': 'trumpvsbernie'}]",en,0.201,0.799,0.0,0.6988,1,0
2020-02-11,00:08:42,oddscheckerau,Oddschecker Au,🇺🇸 @amyklobuchar  US Election odds have been slashed following New Hampshire polls #USElection #NewHampshirePrimary ,['amyklobuchar'],"['#uselection', '#newhampshireprimary']",https://twitter.com/OddscheckerAu/status/1227021606603706368,"[{'user_id': '420212962', 'username': 'OddscheckerAu'}, {'user_id': '33537967', 'username': 'amyklobuchar'}]",en,0.158,0.734,0.107,0.2263,1,0
